,7,1,1,1,22,1,1
25,0,0,0,0,0,0,0
5,0,0.05485,0.0488,0.02865,0.02865,0.036,0.0417
5,0,0.05095,0.046,0.03,0.03,0.04705,0.0642
5,0,0.0495,0.0441,0.03675,0.03675,0.0726,0.0985
5,0,0.04905,0.04365,0.04035,0.04035,0.1138,0.1017
1,0,0.1869,0.1869,0.1869,0.1869,0.1869,0.17315
4,0,0.1869,0.17315,0.17315,0.17315,0.17315,0.17315
