,24,1,15
28,0,0.006,0.006
1,0,0.008,0.008
1,0,0.009,0.009
1,0,0.01,0.01
1,0,0.012,0.012
1,0,0.014,0.014
1,0,0.019,0.019
1,0,0.024,0.024
1,0,0.115,0.115
1,0,0.12,0.12
1,0,0.125,0.125
1,0,0.135,0.135
1,0,0.14,0.14
1,0.06,0.324,0.232
1,0.06,0.232,0.232
1,0.077,0.328,0.328
1,0.083,0.292,0.292
1,0.083,0.292,0.292
1,0.125,0.35,0.35
5,0.148,0.3,0.3
5,0.164,0.3,0.3
