,1,1,1,1,1,1,1,1,1,1
10,0.14,0.11,0.088,0.076,0.065,0.056,0.048,0.043,0.039,0.039
5,0.14,0.11,0.088,0.076,0.065,0.056,0.048,0.043,0.039,0.032
5,0.14,0.11,0.088,0.076,0.065,0.056,0.048,0.043,0.039,0.028
5,0.14,0.11,0.088,0.076,0.065,0.056,0.048,0.043,0.039,0.02
5,0.14,0.11,0.088,0.076,0.065,0.056,0.048,0.043,0.039,0.02
5,0.14,0.11,0.088,0.076,0.065,0.056,0.048,0.043,0.039,0.02
5,0.14,0.11,0.088,0.076,0.065,0.056,0.048,0.043,0.039,0.02
5,0.14,0.11,0.088,0.076,0.065,0.056,0.048,0.043,0.039,0.02
