,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0.22,0.16,0.14,0.12,0.105,0.09,0.075,0.065,0.06,0.055,0.045,0.04,0.037,0.032,0.03,0.026,0.023,0.021,0.02,0.017,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
