,9,10,5,5,1
19,0,0,0,0,0
5,0,0.0075,0.03,0,0
5,0,0.01,0.05,0.15,0.15
5,0.015,0.05,0.13,0.18,0.27
5,0.035,0.11,0.2,0.25,0.35
5,0.1,0.18,0.25,0.32,0.35
5,0.6,0.6,0.65,0.7,0.7
1,1,1,1,1,1
