,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0.0650,0.0550,0.0525,0.0500,0.0450,0.0425,0.0400,0.0350,0.0325,0.0300,0.0275,0.0250,0.0225,0.0150,0.0150,0.0150,0.0150,0.0150,0.0150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
