,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0.164375,0.1385,0.113,0.099125,0.091875,0.081625,0.073,0.06025,0.056375,0.051125,0.046125,0.041675,0.03665,0.033875,0.031375,0.028875,0.0275,0.025,0.0225,0.02
