,4,5,5,5,5,5,5,1
4,96,1,0,0,0,0,0,0
5,343,113,0,0,0,0,0,0
5,218,338,84,0,0,0,0,0
5,87,199,292,77,0,0,0,0
5,24,90,215,297,58,0,0,0
5,12,45,92,164,200,75,0,0
5,6,14,32,73,134,154,54,3
5,3,2,8,22,32,60,63,38
1,0,2,1,5,10,13,15,21
