ppd_id,fy,EEGroupID,TierID,source_GASBSchedules,notes_GASBSchedules,ActAssets_GASB,ActLiabilities_GASB,ActFundedRatio_GASB,UAAL_GASB,ActLiabilities_other,payroll,RequiredContribution,PercentReqContPaid,ARC,PercentARCPaid,TotalPensionLiability,NetPosition,NetPensionLiability,ADEC,AEC,CoveredPayroll_GASB67,PercentADEC,ActAssets_est,ActLiabilities_est,ActFundedRatio_est,RequiredContribution_est,ActValDate_GASBSchedules
35,2014,0,0,,,15844714,37429515,.4233,21584801,0,3522246,1560524,.9631000000000001,1560524,.9631000000000001,39182306.271,17391323.132,21790983.139,1560524,1502864,3522246,.9630508726555952,0,0,0,,30jun2014
35,2015,0,0,,,17104607,39520687,.4328,22416080,0,3606536,1622656,.941989552930504,,,41219300,17463000,23756300,1622656,1528525,3606536,.941989552930504,0,0,0,,30jun2015
35,2016,0,0,,,17701646,40923301,.4326,23221655,0,3513108,1811060,.8736844720771261,,,42970901.717,17005629.973,25965271.744,1811060,1582295,3513108,.8736844720771261,0,0,0,,30jun2016
36,2001,0,0,,,8723304,8305672,1.05,-417632,0,3587080,169374,1.17,169374,1.17,,,,,,,,0,0,0,,30jun2001
36,2002,0,0,,,8994854,9066132,.992,71278,0,3785242,175820,1.18,175820,1.18,,,,,,,,0,0,0,,30jun2002
36,2003,0,0,,,9293952,9034573,1.029,-259379,0,3952230,217077,.983,217077,.983,,,,,,,,0,0,0,,30jun2003
36,2004,0,0,,,9853976,9844353,1.001,-9623,0,4198942,166574,1.41,166574,1.41,,,,,,,,0,0,0,,30jun2004
36,2005,0,0,,,10471937,10858322,.9640000000000001,386385,0,4318450,202631,1.018,202631,1.018,,,,,,,,0,0,0,,30jun2005
36,2006,0,0,,,11177971,11450928,.976,272957,0,4322180,249669,.9229999999999999,249669,.9229999999999999,,,,,,,,0,0,0,,30jun2006
36,2007,0,0,,,12220934,12439798,.982,218864,0,4385676,278190,.9350000000000001,278190,.9350000000000001,,,,,,,,0,0,0,,30jun2007
36,2008,0,0,,,12780116.052,13103221.177,.975,323105.125,0,4600353.894,291397.103,1.046,291397.103,1.046,,,,,,,,0,0,0,,30jun2008
36,2009,0,0,,,12569335.911,13506280.351,.9309999999999999,936944.4399999999,0,4931422.94,316059.105,1.022,316059.105,1.022,,,,,,,,0,0,0,,30jun2009
36,2010,0,0,,,12357199.014,14506052.201,.852,2148853.187,0,4896012.58,360183.3,.919,360183.3,.919,,,,,,,,0,0,0,,30jun2010
36,2011,0,0,,,12000586.31,14913147.293,.8050000000000001,2912560.983,0,4818773.68,483842.478,.708,483842.478,.708,,,,,,,,0,0,0,,30jun2011
36,2012,0,0,,,12088224.658,15784239.911,.7659999999999999,3696015.253,0,4904052.414,509723.901,.7809999999999999,509723.901,.7809999999999999,,,,,,,,0,0,0,,30jun2012
36,2013,0,0,,,12947283.233,16145680.789,.8020000000000001,3198397.556,0,4766909.874,477342.132,.955,477342.132,.955,,,,,,,,0,0,0,,30jun2013
36,2014,0,0,,,13791260.955,16732222.649,.8240000000000001,2940961.694,0,5080092.296,528562.365,.9829978530537262,,,16732222.649,14104287.554,2627935.095,528562.365,519575.67,4896635,.9829978530537262,0,0,0,,30jun2014
36,2015,0,0,,,14131883.609,17980568.263,.7859999999999999,3848684.654,0,4964813,517717,1.036216697539389,,,17980568,13907666,4072902,517717,536467,4804145,1.036216697539389,0,0,0,,30jun2015
