ppd_id,fy,EEGroupID,TierID,source_ActCosts,notes_ActCosts,ContributionFY,NormCostRate_tot,NormCostRate_EE,NormCostRate_ER,ReqContRate_ER,ReqContRate_tot,NormCostAmount_tot,NormCostAmount_EE,NormCostAmount_ER,ReqContAmount_ER,ReqContAmount_tot,NormCostRate_tot_est,NormCostRate_EE_est,NormCostRate_ER_est,ReqContRate_ER_est,ProjectedPayroll
33,2012,4,0,,,,,,,,,,,,,,,,,,
35,2012,1,0,,,,,,,,,,,,,,,,,,
35,2012,3,0,,,,,,,,,,,,,,,,,,
35,2012,2,0,,,,,,,,,,,,,,,,,,
35,2012,4,0,,,,,,,,,,,,,,,,,,
36,2012,1,0,,,2014,.047899999,,,.1117,,184020.94,,,,,,,,,
36,2012,2,0,,,2014,.059,,,.1121,,365018.59,,,,,,,,,
38,2012,4,0,,,,,,,,,,,,,,,,,,
38,2012,3,0,,,,,,,,,,,,,,,,,,
38,2012,5,0,,,,,,,,,,,,,,,,,,
38,2012,1,0,,,,,,,,,,,,,,,,,,
38,2012,2,0,,,,,,,,,,,,,,,,,,
39,2012,3,0,,,,,,,,,,,,,,,,,,
39,2012,2,0,,,,,,,,,,,,,,,,,,
39,2012,1,0,,,,,,,,,,,,,,,,,,
40,2012,1,0,,,,.16620001,.0623,.1039,,,,,,,,,,,,
40,2012,3,0,,,,.1842,.076899998,.1073,,,,,,,,,,,,
40,2012,2,0,,,,.16620001,.0623,.1039,,,,,,,,,,,,
53,2012,1,0,,,,,,,,,,,,,,,,,,
53,2012,5,0,,,,.077699997,.045400001,.032299999,,,,,,,,,,,,
53,2012,4,0,,,,,,,,,,,,,,,,,,
53,2012,3,0,,,,,,,,,,,,,,,,,,
53,2012,2,0,,,,,,,,,,,,,,,,,,
54,2012,3,0,,,,,,,,,,,,,,,,,,
54,2012,1,0,,,,,,,,,,,,,,,,,,
54,2012,2,0,,,,,,,,,,,,,,,,,,
56,2012,2,0,,,,.068400003,.0625,.0058999998,.072499998,.13500001,355741,325057,,377066,702123,,,,,5200907
56,2012,1,0,,,,.067400001,.091000006,0,.1178,.20879999,41,56,,73,129,,,,,617
58,2012,4,0,,,,,,,,,,,,,,,,,,
58,2012,1,0,,,,.1505,.1,,.14140001,.2466,263,175,,248,432,,,,,1753
58,2012,2,0,,,,.085299999,.064999998,,.0669,.1371,353533,269397,,277272,568387,,,,,4144572
58,2012,3,0,,,,,,,,,,,,,,,,,,
59,2012,3,0,,,,,,,,,,,,,,,,,,
59,2012,1,0,,,,,,,,,,,,,,,,,,
59,2012,2,0,,,,,,,,,,,,,,,,,,
71,2012,2,0,,,2014,.14862718,.083676174,.064951003,.18706316,.25201416,631145.25,382480.34,248664.88,924830.63,1307311,,,,,4570958.5
71,2012,1,0,,,2014,.068631314,.036976155,.031655163,.16056661,.19222179,437527.41,253735.3,183792.11,1191738.9,1445474.1,,,,,6862133
72,2012,2,0,,,2014,.1911726,.084215671,.10695693,.24766695,.35462388,557476,264344.09,293131.88,840836.31,1105180.5,,,,,3138894.5
72,2012,1,0,,,2014,.33028811,.084724769,.24556333,.79139107,1.0369544,158737.44,43830.156,114907.28,442813.13,486643.28,,,,,517324
80,2012,2,0,,,,,,,,,,,,,,,,,,
80,2012,1,0,,,,,,,,,,,,,,,,,,
80,2012,4,0,,,,,,,,,,,,,,,,,,
80,2012,3,0,,,,,,,,,,,,,,,,,,
85,2012,5,0,,,,,,,,,,,,,,,,,,
85,2012,4,0,,,2015,,,,,,,,,,,,,,,
85,2012,3,0,,,2015,,,,,,,,,,,,,,,
85,2012,6,0,,,,,,,,,,,,,,,,,,
85,2012,1,0,,,2015,,,,,,,,,,,,,,,
85,2012,2,0,,,2015,,,,,,,,,,,,,,,
86,2012,1,0,,,,.1997,.1,.099700004,,.2949,200585.2,,,,,,,,,1004239.6
86,2012,2,0,,,,.1992,.1,.099200003,,.27829999,177883.72,,,,,,,,,893173.81
88,2012,1,0,,,,.15979999,.1,.059799999,,,,,,,,,,,,10656444
88,2012,2,0,,,,.052199997,,.052199997,,,,,,,,,,,,222631
