,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,0.365,0.205,0.146,0.105,0.085,0.07,0.064,0.058,0.054,0.05,0.043,0.039,0.035,0.032,0.029,0.026,0.023,0.02,0.019,0.018,0.017,0.016,0.015,0.015
