,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0.22,0.18,0.14,0.12,0.105,0.09,0.08,0.07,0.065,0.06,0.053,0.045,0.04,0.035,0.031,0.028,0.026,0.024,0.022,0.02,0.018,0.016,0.014,0.012,0.01
