,4,5,5
5,0.302,0,0
5,0.148,0.232,0
5,0.132,0.088,0.094
5,0.132,0.068,0.034
5,0.114,0.068,0.0285
5,0.104,0.056,0.0204
5,0.102,0.051,0.021
5,0.102,0.048,0.0274
5,0.102,0.048,0
5,0.102,0.048,0
