,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0.05,0.0425,0.03875,0.0375,0.0325,0.02875,0.0275,0.025,0.02375,0.0225,0.02125,0.015,0.01375,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0
