,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0.07875,0.07625,0.07375,0.07125,0.06875,0.06875,0.065,0.0625,0.06125,0.0575,0.0525,0.05,0.04875,0.0475,0.04625,0.04625,0.04375,0.0425,0.0425,0.0425,0.04,0.03875,0.0375,0.0375,0.035
