,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5
1,0.15,0.104,0.086,0.072,0.062,0.052,0.046,0.042,0.0395,0.035,0.0325,0.03,0.0275,0.025,0.0185,0.0145,0.0085,0
