,4,5,5,5,5,5,1
4,22,0,0,0,0,0,0
5,109,26,1,0,0,0,0
5,127,98,36,1,0,0,0
5,86,78,56,27,1,0,0
5,69,79,76,65,24,4,0
5,62,66,99,70,76,91,2
5,47,43,74,68,142,199,23
5,26,46,49,56,84,166,38
5,24,22,33,25,33,47,16
5,6,7,16,7,14,12,5
1,3,0,4,4,5,2,7
