,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0.18,0.132,0.108,0.088,0.071,0.061,0.054,0.0482,0.0424,0.0384,0.0344,0.0306,0.0276,0.0248,0.0228,0.0208,0.0188,0.0168,0.015,0.0132,0.0122,0.0112,0.0102,0.0092,0.0082,0.0072,0.0062,0.0052,0.005,0.005,0
