,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0.182,0.1529,0.1265,0.10645,0.08685,0.0732,0.06275,0.054125,0.0473,0.040475,0.036375,0.03355,0.03155,0.02955,0.02755,0.02555,0.02355,0.02155,0.01955,0.018,0.01645,0.0149,0.01335,0.0118,0.0108,0.00925,0.00825,0.00725,0.0068,0.00635,0
