,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0.05,0.04,0.03,0.025,0.02,0.0175,0.015,0.0125,0.01,0.009,0.008,0.007,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005
