,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0.07,0.06,0.04,0.03,0.025,0.02,0.0175,0.015,0.013,0.0115,0.01,0.0085,0.007,0.006,0.005,0.005,0.005,0.005,0.005,0.005
