,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,0.338,0.2466,0.1768,0.1366,0.1086,0.0984,0.087,0.0722,0.0626,0.0554,0.0504,0.046,0.0416,0.0356,0.0348,0.0326,0.0228,0.0262,0.0214,0
