,1,2,3,4
5,0.289,0.1353,0.0952,0.0469
5,0.289,0.1353,0.0952,0.0469
5,0.289,0.1353,0.0952,3.82
5,0.2091,0.1083,0.0799,2.86
5,0.1732,0.0886,0.0637,1.8
5,0.1633,0.0826,0.0579,1.22
5,0.1633,0.0765,0.0521,0.9
5,0.1633,0.0765,0.0521,0.88
