,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0.0997,0.0946,0.0873,0.0795,0.0743,0.0702,0.066,0.0629,0.0608,0.0577,0.0557,0.0536,0.0515,0.0505,0.05,0.0489,0.0484,0.0474,0.0463,0.0453,0.0442,0.0437
