,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0.1202,0.1112,0.0932,0.0752,0.067,0.059,0.051,0.043,0.0392,0.0354,0.031,0.0272,0.0234,0.0214,0.0202,0.0182,0.0162,0.015,0.014,0.014,0.013,0.013,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012
