,5,5,5,5,5,5
25,0,0,0,0,0,0
5,0,0,0,0,0,0.15
5,0,0,0,0,0,0.18
5,0,0,0,0,0.058,0.224
2,0,0,0,0.19,0.16,0.25
3,0,0,0.38,0.3,0.3,0.34
5,0,0.36,0.39,0.38,0.38,0.38
5,1,1,1,1,1,1
