,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0.08,0.0775,0.075,0.0725,0.07,0.0675,0.065,0.0625,0.0625,0.06,0.06,0.0575,0.0575,0.055,0.055,0.0525,0.0525,0.0525,0.05,0.05,0.05,0.05,0.0475,0.0475,0.045
