,9,15,5,4,1,1
35,0,0,0,0,0,0
1,0,0,0.0355,0.10125,1,0.9
1,0,0,0.04875,0.1145,1,0.7
1,0,0,0.051,0.1255,1,0.7
1,0,0,0.0555,0.141,0.95,0.7
1,0,0,0.06,0.16,0.95,0.7
2,0,0.1865,0.1865,0.1865,0.95,0.555
2,0,0.3865,0.3865,0.3865,0.9,0.555
2,0,0.255,0.255,0.255,0.9,0.3975
2,0,0.3275,0.3275,0.3275,0.3275,0.3275
2,0,0.2275,0.2275,0.2275,0.2275,0.2275
5,0,0.395,0.395,0.395,0.395,0.395
5,0,1,1,1,1,1
