,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0.6,0.45,0.25,0.18,0.19,0.19,0.21,0.25,0.23,0.27,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1
1,0,0.6,0.45,0.25,0.18,0.19,0.19,0.21,0.25,0.23,0.27,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1
1,0,0.6,0.45,0.25,0.18,0.19,0.19,0.21,0.25,0.23,0.27,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1
1,0,0.6,0.45,0.25,0.18,0.19,0.19,0.21,0.25,0.23,0.27,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1
1,0,0.6,0.45,0.25,0.18,0.19,0.19,0.21,0.25,0.23,0.27,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1
1,0.23,0.6,0.45,0.25,0.18,0.19,0.19,0.21,0.25,0.23,0.27,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1
1,0.2,0.6,0.45,0.25,0.18,0.19,0.19,0.21,0.25,0.23,0.27,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1
1,0.22,0.6,0.45,0.25,0.18,0.19,0.19,0.21,0.25,0.23,0.27,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1
1,0.22,0.6,0.45,0.25,0.18,0.19,0.19,0.21,0.25,0.23,0.27,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1
1,0.22,0.6,0.45,0.25,0.18,0.19,0.19,0.21,0.25,0.23,0.27,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1
1,0.22,0.6,0.45,0.25,0.18,0.19,0.19,0.21,0.25,0.23,0.27,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1
1,0.25,0.6,0.45,0.25,0.18,0.19,0.19,0.21,0.25,0.23,0.27,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1
1,0.22,0.6,0.45,0.25,0.18,0.19,0.19,0.21,0.25,0.23,0.27,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1
1,0.22,0.6,0.45,0.25,0.18,0.19,0.19,0.21,0.25,0.23,0.27,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1
1,0.15,0.6,0.45,0.25,0.18,0.19,0.19,0.21,0.25,0.23,0.27,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1
1,0.15,0.6,0.45,0.25,0.18,0.19,0.19,0.21,0.25,0.23,0.27,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1
1,0.15,0.6,0.45,0.25,0.18,0.19,0.19,0.21,0.25,0.23,0.27,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1
1,0.15,0.6,0.45,0.25,0.18,0.19,0.19,0.21,0.25,0.23,0.27,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1
1,0.15,0.6,0.45,0.25,0.18,0.19,0.19,0.21,0.25,0.23,0.27,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1
1,0.15,0.6,0.45,0.25,0.18,0.19,0.19,0.21,0.25,0.23,0.27,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1
1,1,0.6,0.45,0.25,0.18,0.19,0.19,0.21,0.25,0.23,0.27,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1
