,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,.065,.0575,.055,.0525,.05,.05,.0475,.045,.045,.045,.045,.045,.045,.04,.04,.04,.04,.04,.035
