,9,1
4,5578,0
5,27602,3
5,32483,4667
5,17455,20924
5,13161,26331
5,11833,24905
5,9829,24974
5,6293,21363
5,3453,13616
5,1221,3129
5,368,522
5,125,118
5,35,34
1,6,11
