,0,1,2,3,4,5,6,7,8,9,10
5,.089,.079,.0715,.0715,.0715,.0715,.0715,.0715,.0715,.0715,.0715
5,.089,.079,.0715,.0715,.0715,.0715,.0715,.0715,.0715,.0715,.0715
5,.089,.079,.0715,.0715,.0715,.0715,.0715,.0715,.0715,.0715,.0715
5,.089,.079,.0715,.0715,.0715,.0715,.0715,.0715,.0715,.0715,.0665
5,.089,.079,.0715,.0715,.0715,.0715,.0715,.0715,.0715,.0715,.0565
5,.089,.079,.0715,.0715,.0715,.0715,.0715,.0715,.0715,.0715,.0515
5,.089,.079,.0715,.0715,.0715,.0715,.0715,.0715,.0715,.0715,.049
5,.089,.079,.0715,.0715,.0715,.0715,.0715,.0715,.0715,.0715,.044
5,.089,.079,.0715,.0715,.0715,.0715,.0715,.0715,.0715,.0715,.039
5,.089,.079,.0715,.0715,.0715,.0715,.0715,.0715,.0715,.0715,.034
