,1,1,1,1,1,1
5,.28,.156,.094,.074,.054,.0562
1,.28,.156,.094,.074,.054,.0562
1,.28,.156,.094,.074,.054,.0562
1,.28,.156,.094,.074,.054,.05452
1,.28,.156,.094,.074,.054,.05284
1,.28,.156,.094,.074,.054,.05116
1,.28,.156,.094,.074,.054,.04956
1,.28,.156,.094,.074,.054,.04796
1,.28,.156,.094,.074,.054,.04602
1,.28,.156,.094,.074,.054,.04408
1,.28,.156,.094,.074,.054,.04214
1,.28,.156,.094,.074,.054,.04028
1,.28,.156,.094,.074,.054,.0385
1,.28,.156,.094,.074,.054,.03664
1,.28,.156,.094,.074,.054,.03486
1,.28,.156,.094,.074,.054,.03316
1,.28,.156,.094,.074,.054,.03146
1,.28,.156,.094,.074,.054,.02976
1,.28,.156,.094,.074,.054,.02814
1,.28,.156,.094,.074,.054,.0266
1,.28,.156,.094,.074,.054,.02506
1,.28,.156,.094,.074,.054,.02352
1,.28,.156,.094,.074,.054,.02214
1,.28,.156,.094,.074,.054,.02076
1,.28,.156,.094,.074,.054,.01946
1,.28,.156,.094,.074,.054,.01816
1,.28,.156,.094,.074,.054,.01694
1,.28,.156,.094,.074,.054,.0158
1,.28,.156,.094,.074,.054,.01474
1,.28,.156,.094,.074,.054,.01368
1,.28,.156,.094,.074,.054,.0127
1,.28,.156,.094,.074,.054,.01188
1,.28,.156,.094,.074,.054,.01098
1,.28,.156,.094,.074,.054,.01024
1,.28,.156,.094,.074,.054,.00958
1,.28,.156,.094,.074,.054,.009
1,.28,.156,.094,.074,.054,.0085
1,.28,.156,.094,.074,.054,.00808
1,.28,.156,.094,.074,.054,.00808
1,.28,.156,.094,.074,.054,.00816
1,.28,.156,.094,.074,.054,.00832
1,.28,.156,.094,.074,.054,.00856
1,.28,.156,.094,.074,.054,.00888
1,.28,.156,.094,.074,.054,.00888
1,.28,.156,.094,.074,.054,.00888
