,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,.07,.07,.0675,.0675,.0675,.055,.055,.0525,.0525,.0525,.0525,.0525,.05,.05,.05,.0475,.0475,.045,.045,.045,.04
