,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,.148,.122,.091,.086,.077,.066,.06,.054,.05,.046,.042,.038,.034,.031,.027,.028,.024,.02,.019,.018,.017,.016,.015,.015,.015,.015,.015,.015,.015,.015,.015
