,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,.365,.205,.146,.105,.085,.07,.064,.058,.054,.05,.043,.039,.035,.032,.029,.026,.023,.02,.019,.018,.017,.016,.015,.015
