,5,5,5,5,5,5,""
5,4558455,0,0,0,0,0," "
5,49233800,20584403,0,0,0,0," "
5,42579120,48970710,23448720,0,0,0," "
5,24690310,40168964,66821646,28365729,0,0," "
5,2689405,18296272,54363757,66699600,20830244,0," "
5,0,1506160,5716886,35311067,61407528,26746452," "
5,0,0,315756,5972118,25429950,36878428," "
5,0,0,0,2284568,3092752,11418905," "
5,0,0,0,0,0,0," "
5,0,0,0,0,0,0," "
