,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,.13,.11,.09,.08,.065,.061,.058,.056,.054,.053,.052,.051,.05,.049,.048,.048,.048,.048,.048,.048,.047,.046,.045
