,1,2,2
1,.2,.095,.18
1,.2,.095,.18
1,.2,.095,.18
1,.2,.095,.18
1,.2,.095,.18
1,.126,.095,.09
1,.126,.095,.06
1,.126,.095,.06
1,.126,.095,.055
1,.126,.095,.053
1,.12,.109,.053
1,.12,.109,.05
1,.12,.109,.045
1,.12,.109,.045
1,.12,.109,.045
1,.117,.095,.04
1,.117,.095,.04
1,.117,.095,.04
1,.117,.095,.04
1,.117,.095,.04
1,.123,.09,.037
1,.123,.09,.037
1,.123,.09,.037
1,.123,.09,.037
1,.123,.09,.04
1,.099,.09,.04
1,.099,.09,.04
1,.099,.09,.04
1,.099,.09,.04
1,.099,.09,.04
1,.112,.09,.04
1,.112,.09,.04
1,.112,.09,.04
1,.112,.09,.04
1,.112,.09,.04
1,.106,.09,.04
1,.106,.09,.04
1,.106,.09,.04
1,.106,.09,.04
1,.106,.09,.04
1,.106,.09,.04
1,.106,.09,.04
1,.106,.09,.04
1,.106,.09,.04
1,.106,.09,.04
1,.106,.09,.04
1,.106,.09,.04
1,.106,.09,.04
1,.106,.09,.04
1,.106,.09,.04
1,.106,.09,.04
1,.106,.09,.04
1,.106,.09,.04
1,.106,.09,.04
1,.106,.09,.04
