,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,.1052686,.017957,.017957,.017957,.012043,.01,.01,.01,.01,.01,.007957,.007957,.007957,.007957,.007957,.005,.005,.0037742,.0033656,.0031613,0,0,0
