,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,.06,.055,.05,.0475,.045,.0425,.04,.04,.0375,.0375,.0375,.0375,.0375,.035,.035,.035,.035,.035,.035,.035
