,1
10,0
1,18420
1,26100
1,25554
1,21361.5
1,24384
1,24310.67
1,30410.57
1,26904.8
1,26082.75
1,27696.96
1,27806.06
1,30065.67
1,30544.94
1,32466.51
1,29134.82
1,31197.43
1,34512.39
1,34271.09
1,32934.55
1,33237.71
1,31708.71
1,34713.14
1,33074.44
1,33225.17
1,34837.18
1,25554.09
1,27256.89
1,29659.41
1,33206.26
1,37249.09
1,41100.85
1,46483.81
1,49107.82
1,50163.69
1,49409.95
1,48457.52
1,47708.56
1,47307.23
1,46698.22
1,45789.43
1,44262.13
1,41905.54
1,39421.2
1,38888.97
1,37407.65
1,36241.45
1,35061.94
1,34332.73
1,33833.55
1,32619.71
1,31360.55
1,29663.75
1,28836.61
1,27806.81
1,26747.08
1,25213.54
1,23410.66
1,22086.81
1,21707.38
1,20576.39
1,18661.23
1,18244.63
1,16470.96
1,17014.53
1,16004.2
1,16612.15
1,15184.62
1,14243.77
1,12429.89
1,11997.08
1,12084.37
1,11049.3
1,13187.68
1,12341.28
1,11142
1,9652
1,10836
1,0
1,0
1,0
1,0
1,0
1,3564
