,19,5,1,1
5,0,0,0,0
5,0,0,0,0
5,0,0,0,0
5,0,0,0,0
5,0,0,0,0
5,0,0,0,0
5,0,0,0,0
5,.032,.032,.5904,.1748
5,.032,.032,.7749,.2278
5,.375,.375,.7749,.378
5,1,1,1,1
