,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,.0725,.06,.055,.0525,.0525,.0525,.05,.05,.0475,.0475,.0475,.0475,.0475,.045,.045,.045,.04,.0375
