,1
4,340626
1,0
1,0
1,5328
1,0
1,0
1,0
1,0
1,0
1,12351
1,0
1,1884
1,26373
1,5814
1,20441
1,14840
1,0
1,14064
1,36662
1,8243
1,44059
1,102015
1,172335
1,462933
1,344903
1,603595
1,750411
1,913284
1,1535396
1,2276775
1,3267938
1,4136217
1,5145856
1,7091618
1,9299041
1,9955820
1,12180662
1,15697644
1,16707829
1,23743560
1,23654994
1,25132674
1,28556609
1,32324735
1,28537633
1,23271866
1,21721758
1,22149837
1,20544219
1,14954602
1,14367549
1,13147758
1,10859385
1,10440748
1,9705195
1,9483186
1,7778349
1,7464753
1,6095521
1,6233783
1,5361367
1,5047142
1,4122287
1,3920763
1,3193785
1,3038080
1,2415024
1,2170374
1,1471472
1,1331053
1,1035046
1,549443
1,484956
1,311049
1,203572
1,192747
1,117612
1,59929
1,46308
1,6986
1,4835
1,14204
1,17460
