,5,5,5,5,5,5,""
5,181,0,0,0,0,0," "
5,703,122,0,0,0,0," "
5,722,315,82,0,0,0," "
5,604,315,235,56,0,0," "
5,596,366,309,180,63,0," "
5,587,422,325,254,155,33," "
5,511,420,352,268,187,121," "
5,384,278,267,172,122,80," "
5,203,170,186,114,66,31," "
5,86,58,65,45,21,6," "
