,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,.0772,.0662,.0553,.0441,.0331,.0316,.0309,.0301,.0294,.0289,.0277,.027,.0263,.0258,.0252,.0246,.0241,.0238,.0237,.0235,.0234,.0233
