,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,.09,.09,.06,.045,.04,.0375,.035,.0325,.03,.0275,.025,.024,.023,.022,.021,.02,.02,.02,.02,.02
