,1
31,0
1,66782
1,0
1,66843
1,3007442
1,27464592
1,52462657
1,78281470
1,102036234
1,144316476
1,209805340
1,250618790
1,271805411
1,283863841
1,307215019
1,352818491
1,243652110
1,229165876
1,207226384
1,222147012
1,176905906
1,151176301
1,130564084
1,123201355
1,115758088
1,100740614
1,94767219
1,90414818
1,73652894
1,75065619
1,63960842
1,60132275
1,57661838
1,48757024
1,44948901
1,38215929
1,32494289
1,27244419
1,22817438
1,18343520
1,15745430
1,12921387
1,9788394
1,7689877
1,5766192
1,4128807
1,3099287
1,2534592
1,2795104
1,1393359
1,819226
1,632996
1,423042
1,143339
1,174496
1,117761
1,47354
1,24232
1,30696
