,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,.15,.15,.12,.09,.08,.07,.065,.0525,.05,.0475,.0425,.04,.04,.036,.033,.03,.028,.025,.023,.021,.019,.018,.017,.016,.015,.014,.013,.012,.011,.01,.009
