,1
11,48942
5,89829
1,50203
3,26371
1,152908
1,191635
1,56853
1,127107
1,453718
1,325574
1,100474
1,286806
1,266504
1,338336
1,685411
1,420591
1,945022
1,1127642
1,1385577
1,2159503
1,2274120
1,2433146
1,2161909
1,2162063
1,1974071
1,1335789
1,1338860
1,1540201
1,1826488
1,1656292
1,3013139
1,1474321
1,982936
1,1204591
1,1787939
1,1677694
1,931929
1,1030182
1,900099
1,679743
1,774420
1,963988
1,380831
1,493592
1,471102
1,732394
1,1120780
1,527505
1,982626
1,484454
1,414904
1,159809
1,284307
1,233005
1,82070
1,67221
1,83922
1,4501
1,19072
