,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,.18,.14,.12,.107,.0954,.085,.0758,.0675,.0602,.0537,.0478,.0426,.038,.0339,.0302,.0269,.024,.0214,.0191,.017,.0151,.0135,.012
