,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,.22,.16,.14,.12,.105,.09,.075,.065,.06,.055,.045,.04,.037,.032,.03,.026,.023,.021,.02,.017,.015,.015,.015,.015,.015,.015,.015,.015,.015
