,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,.0905,.0755,.0705,.0685,.0665,.0645,.0645,.0605,.0585,.0555,.0555,.0555,.0555,.0555,.0555,.0555,.0555,.0555,.0555,.0475,.0475,.0475,.0475,.0475,.0375
