,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,.1784,.1652,.14035,.11685,.11395,.09625,.0866,.0757,.0686,.06205,.05995,.0533,.04675,.04375,.04075,.03775,.03475,.0322,.0302,.02875,.02675,.02475,.02275,.0223,.02185,.0214,.02095,.0205,.0205,.0205,.0205
