,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,.08024,.06572,.0567,.04896,.04218,.03642,.03146,.0273,.02368,.02104,.01872,.01664,.01488,.01328,.01192,.01072,.00968,.0088,.008,.00676,.00612,.00564,.00516,.00476
