,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,0,0,0,0,0,0,0,0,0,0,.35,.2,.25,.3,.35,.4,.45,.5,.55,.6,1,1,1,1,1,1
1,.4,.4,.4,.4,.4,.315,.315,.315,.315,.315,.5,.25,.3,.35,.4,.45,.5,.55,.6,.65,1,1,1,1,1,1
