,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,0,0,0,0,0,0,0,0,0,0,.5,.35,.375,.4,.425,.45,.475,.5,.525,.55,.575,.6,.6,.6,.6,1
1,.6,.45,.45,.45,.45,.4,.4,.4,.4,.4,.55,.35,.35,.35,.35,.45,.45,.45,.45,.45,.5,.5,.55,.55,.55,1
