,1
17,6916
1,42877
1,77540
1,21522
1,34977
1,21793
1,34856
1,28668
1,94799
1,6762
1,70426
1,29276
1,58885
1,106981
1,134031
1,174632
1,236603
1,435759
1,571869
1,1619207
1,2509101
1,2728890
1,3145789
1,4514232
1,4643290
1,6817023
1,7910464
1,8407705
1,7775422
1,7802981
1,7342188
1,4856261
1,5159924
1,4406187
1,4306223
1,3828917
1,3589282
1,3136900
1,2939155
1,4018933
1,3498039
1,2210475
1,2811148
1,1974848
1,2662523
1,2742395
1,2726944
1,1772047
1,1959266
1,1649177
1,1759489
1,1577978
1,1466570
1,953778
1,597530
1,805822
1,528678
1,227397
1,176171
1,295916
1,62100
1,56517
1,3742
1,26566
1,11168
1,0
1,4895
1,15770
1,0
