,1
23,0
1,16718
1,32960
1,65780
1,221182
1,343496
1,469281
1,1028659
1,1151272
1,2266399
1,3800741
1,5124414
1,7572770
1,11057096
1,17619049
1,25200349
1,26912785
1,28759216
1,36396138
1,40682982
1,47523286
1,51028249
1,58687269
1,65016941
1,58520570
1,45248258
1,44685602
1,47552676
1,44415932
1,35277462
1,30605272
1,28436958
1,25770710
1,25346690
1,24211149
1,20678683
1,20218915
1,18896960
1,18847363
1,17446129
1,15343042
1,14500570
1,13111383
1,11560967
1,9918353
1,9521883
1,7415407
1,6315544
1,4557075
1,3993987
1,3869470
1,2525836
1,1700375
1,1133990
1,864138
1,699738
1,317240
1,232953
1,141223
1,161978
1,74493
1,107167
1,20189
1,33696
1,7296
1,14696
1,0
1,0
1,5000
