,1,1,1,1,5,5,5,5,5,5,5,1
4,6087585,1803802,745829,480144,57414,0,0,0,0,0,0,0
5,10475636,5059132,2852976,2258333,5784630,0,0,0,0,0,0,0
5,9731649,4336740,3657150,3640660,16705084,6638739,0,0,0,0,0,0
5,9161876,4934208,3414450,3575584,19518533,12297046,1542240,114444,0,0,0,0
5,11455938,6323769,5146345,5294742,28750904,20042728,6112812,2933612,172206,0,0,0
5,9939267,6172124,5965679,5716480,41692080,35644656,11414108,8316360,2364147,103460,0,0
5,8105580,4711650,4870640,5085720,48671979,54126060,22531820,18238494,8601032,4319454,285744,0
5,4664120,3585596,3056492,3213648,34679502,49572614,30313824,36427292,18196200,8655443,2469852,0
5,2320608,1926731,1613178,1980207,21447864,29170522,19552320,32550648,21601899,6893160,1957522,0
5,1170348,556920,303086,702976,7861032,10911696,4290979,9820482,7118429,3788284,630518,0
1,291102,256659,156247,197770,2609721,2961640,541065,1063491,687194,618462,153402,0
