,5,5,5,5,5,5,5
30,0,0,0,.061,.059,.2725,.2725
5,0,0,0,.0455,.1,.29125,.175
5,.0855,.0855,.0855,.0855,.28875,.4,.26375
5,.3725,.3725,.3725,.3725,.3725,.3725,.3725
5,.25,.25,.25,.25,.25,.25,.25
5,1,1,1,1,1,1,1
