,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,.0725,.0675,.065,.0625,.0615,.0605,.0595,.0585,.0575,.0565,.0555,.0545,.0535,.0525,.052,.0515,.051,.0505
