,1
1,83347
1,17120
1,21966
1,53940
1,55086
1,133205
1,83338
1,60803
1,178749
1,119626
1,212060
1,187307
1,218847
1,151625
1,165147
1,213546
1,406246
1,309669
1,230575
1,218363
1,274628
1,382904
1,442583
1,433791
1,633055
1,486880
1,619233
1,883767
1,1388207
1,2084912
1,4854871
1,9386885
1,16360597
1,23592209
1,34193411
1,48769362
1,65001807
1,78904219
1,95202699
1,112541137
1,135666649
1,156988361
1,160549167
1,163048858
1,172277447
1,177818135
1,203685224
1,142258089
1,137881841
1,137674936
1,140993356
1,116062460
1,106587208
1,96947603
1,91981119
1,86192862
1,80424084
1,77521729
1,73932194
1,64773062
1,61475542
1,57618862
1,55783968
1,50839443
1,43616581
1,39538035
1,34323192
1,30044210
1,24697532
1,19908081
1,17137591
1,15498641
1,12825964
1,8862803
1,6773397
1,4898387
1,3573319
1,2852105
1,1946372
1,1256490
1,927028
1,469653
1,386553
1,162401
1,236581
1,39883
